time,full_resp_time,full_high,full_low,full_text,full_replicas,full_workload,base_resp_time,base_workload,scale_resp_time,scale_replicas,scale_workload
208,2.411401537,0,0,3,3,396.6285257,9.881877577,378.00784,2.432697325,3,385.2
210,2.411401537,0,0,3,3,393.4,9.876310213,398.3402,2.43977246,3,445.2
212,2.401652254,0,0,3,3,424.6,9.839839919,398.4,2.439320583,3,436.8
214,2.38917203,0,0,3,3,424.6,9.832850099,359.6,2.442823773,3,419.2
216,2.388422059,0,0,3,3,381.2,9.826910485,359.6,2.441118627,3,393.2
218,2.402339969,0,0,3,3,350.2,19.53604731,433,2.44260425,3,380.6
220,2.402339969,0,0,3,3,416.4,19.5467556,433,2.445843335,3,442.4
222,2.414060496,0,0,3,3,422.6222444,19.43308667,433,2.431749185,3,441.8
224,2.409148407,0,0,3,3,422.6222444,19.44232572,342.4,2.433770173,3,398.8
226,2.406716688,0,0,3,3,412.7940901,19.45003772,342.4,2.434186808,3,377.8
228,2.401962104,0,0,3,3,413.5718456,19.72354015,383.6,2.433117992,3,394
230,2.401962104,0,0,3,3,392.7718456,19.72354015,383.6,2.4251894,3,428.2
232,2.369272346,0,0,3,3,438.4052919,19.77025547,383.6,2.417323027,3,420.6
234,2.352718282,0,0,3,3,438.4052919,19.77025547,344.2,2.410520666,3,415.2
236,2.348313527,0,0,3,3,423.5417317,19.77025547,344.2,2.391490083,3,422.6
238,2.350523992,0,0,3,3,411.9689262,19.78604383,366,2.380257293,3,416.6
240,2.350523992,0,0,3,3,399.4285657,19.78604383,366,2.352920832,3,403.6
242,2.315508013,0,0,3,3,427.8568514,18.66206897,366,2.283999997,3,400.6
244,2.221345854,0,0,3,3,427.8568514,18.66206897,null,2.238256504,3,395.6
246,2.134019992,0,0,3,3,383.8282857,18.66206897,null,2.154586921,3,380
248,0.995243865,0,0,3,3,341.980084,20.15,null,2.09890331,3,359
250,0.995243865,0,0,3,3,315.5562088,20.15,null,0.96556265,3,357.4
252,0.861246533,0,0,3,3,382.9761248,14.8,null,0.445534306,3,367.6
254,0.870498199,0,0,3,3,382.9761248,14.8,195.9702,0.428175731,3,382.2
256,0.997739745,0,2,3,5,398,14.8,256.3702,0.418810695,3,394.2
258,1.19004111,0,2,3,5,276.4,11.30833333,327.6,0.428391709,3,402.8
260,1.19004111,0,3,2,5,147.6,11.30833333,327.6,0.427968417,3,267
262,1.319695842,0,3,2,5,36.70494,9.170103093,327.6,1.029349157,3,141.4
264,0.938156153,0,3,2,5,139.62806,9.170103093,null,1.040499157,3,226.4
266,0.877827548,0,3,0,3,249.6185712,9.170103093,null,1.044814338,3,226.4
268,0.93203187,0,3,0,3,376.9344197,9.174072165,null,1.828569573,3,358.4
270,0.959214784,1,3,0,4,293.6,9.174072165,null,1.843808022,1,358.4
272,1.0100169,1,3,0,4,306.8,9.174072165,null,3.17650033,1,358.4
274,1.288289815,1,3,0,4,278.6,9.174072165,null,3.18710033,3,427
276,1.29830936,3,2,0,5,314.13606,9.174072165,null,3.192017822,3,427
278,1.317606559,3,2,0,5,48.8071,9.579123711,null,3.427965096,3,429.2
280,1.317569726,3,2,0,5,60.9271,9.579123711,null,9.332841823,3,429.2
282,0.854498151,3,2,0,5,251.7270197,null,null,7.775334287,3,432.3836
284,0.742902345,3,2,0,5,305.735233,null,null,5.191633119,3,377.4636
286,0.648194753,3,0,0,3,428.9694861,null,null,5.191683432,3,384.8916289
288,0.658771165,3,0,0,3,409.1751196,null,null,5.036904936,3,430.5601409
290,0.68390645,3,0,0,3,399.1751196,null,null,5.037017347,3,432.6
292,0.745675454,3,0,0,3,404.726751,null,null,5.174783093,3,432.4
294,1.03207498,3,0,0,3,404.726751,null,null,5.196140328,3,409.6
296,1.037113984,3,0,0,3,434.926751,null,null,5.203294127,3,412.6
298,1.166198178,3,0,0,3,280,null,null,5.483838005,3,121.8
300,1.148265983,2,0,0,2,158.8,null,null,5.488513625,3,161.4419
302,1.192892727,2,0,0,2,223,null,null,5.780053349,3,223.2903
304,1.193313776,2,0,0,2,223,null,null,5.777692087,3,163.1684
306,1.249947038,1,0,0,1,196.2,null,null,5.776789949,3,194.2
308,1.40556479,1,0,0,1,196.2,null,null,2.638420319,3,210.8161
310,1.40556479,1,0,0,1,196.2,null,null,2.638099076,3,212
312,1.426139269,1,0,0,1,194,null,null,3.042654037,3,208.8
314,1.55267773,1,0,0,1,194,null,null,3.042914899,3,209
316,1.563924597,3,0,0,3,197,null,null,3.040662178,3,217.6
318,1.310559973,3,0,0,3,197.96048,null,null,1.126494937,3,216.4
320,1.310559973,3,0,0,3,198.28048,null,null,1.1266962,3,206.8
322,1.936203008,3,0,0,3,200,null,null,0.091808059,3,204
324,1.936203008,3,0,0,3,199.8,null,null,0.091793956,3,204.2
326,1.936203008,3,0,0,3,199,null,null,0.092440496,3,204.2
328,0.058196078,3,0,0,3,199.4,null,null,0.092440496,3,212.8
330,0.058196078,3,0,0,3,199.4,null,null,0.093410172,3,212.6
332,0.049827434,3,0,0,3,197.4,null,null,0.094766281,3,200.4
334,0.049827434,3,0,0,3,197.2,null,null,0.094979762,3,200.6
336,0.049827434,3,0,0,3,200.4,null,null,0.162842791,3,101.6
338,0.054542553,3,0,0,3,200.8,null,null,0.162842791,3,169.8
340,0.054542553,3,0,0,3,200.8,null,null,0.162733592,1,169.8
342,0.096768939,3,0,0,3,194.4,null,null,0.160792637,1,209
344,0.096768939,3,0,0,3,192.8,null,null,0.161189811,1,209
346,0.096768939,3,0,0,3,195.6,null,null,0.15778844,1,209
348,0.097342767,3,0,0,3,195.6,null,null,0.15778844,1,214.2
350,0.097342767,3,0,0,3,195.6,null,null,0.159086564,1,214.2
352,0.09403719,3,0,0,3,195.6,null,null,0.15704512,1,213.8
354,0.09403719,3,0,0,3,195.6,null,null,0.214729947,1,213.8
356,0.09403719,1,0,0,1,196.4,null,null,0.210807487,1,213.8
358,0.094622222,1,0,0,1,196.4,null,null,0.210807487,1,218
360,0.094622222,1,0,0,1,196.4,null,null,0.210807487,1,218
